id,fingerprint,brand_name,product_name,quantity,category
1,"milky mist|milky mist curd|1000g",milky mist,milky mist curd,1000g,
2,"epigamia|epigamia milkshake vanilla|180ml",epigamia,epigamia milkshake vanilla,180ml,
3,"nestle milkmaid mini|nestle milkmaid mini|190g",nestle milkmaid mini,nestle milkmaid mini,190g,
4,"milky mist|milky mist ghee 1 l|910g",milky mist,milky mist ghee 1 l,910g,
5,"nandini|pasteurised toned milk|1000ml",nandini,pasteurised toned milk,1000ml,"Bakery, Cakes & Dairy"
6,"nandini|pasteurised toned milk|500ml",nandini,pasteurised toned milk,500ml,"Bakery, Cakes & Dairy"
7,"nandini|shubham milk|1000ml",nandini,shubham milk,1000ml,"Bakery, Cakes & Dairy"
8,"nandini|shubham milk|500ml",nandini,shubham milk,500ml,"Bakery, Cakes & Dairy"
9,"heritage|daily health toned milk|500ml",heritage,daily health toned milk,500ml,"Bakery, Cakes & Dairy"
10,"amul|gold|1000ml",amul,gold,1000ml,"Bakery, Cakes & Dairy"
11,"amul|gold full cream milk|500ml",amul,gold full cream milk,500ml,"Bakery, Cakes & Dairy"
12,"nandini|homogenised pasteurised cow s pure milk|500ml",nandini,homogenised pasteurised cow s pure milk,500ml,"Bakery, Cakes & Dairy"
13,"amul|taaza milk|1000ml",amul,taaza milk,1000ml,"Bakery, Cakes & Dairy"
14,"amul|taaza milk|500ml",amul,taaza milk,500ml,"Bakery, Cakes & Dairy"
15,"akshayakalpa organic|cow milk pasteurized|500ml",akshayakalpa organic,cow milk pasteurized,500ml,"Bakery, Cakes & Dairy"
16,"heritage|full cream milk|500ml",heritage,full cream milk,500ml,"Bakery, Cakes & Dairy"
17,"akshayakalpa|organic cow milk|500ml",akshayakalpa,organic cow milk,500ml,"Bakery, Cakes & Dairy"
18,"akshayakalpa|amrutha a2 farm fresh milk organic|500ml",akshayakalpa,amrutha a2 farm fresh milk organic,500ml,"Bakery, Cakes & Dairy"
19,"akshayakalpa|amrutha a2 pasteurised milk organic|500ml",akshayakalpa,amrutha a2 pasteurised milk organic,500ml,"Bakery, Cakes & Dairy"
20,"arokya|full cream milk|500ml",arokya,full cream milk,500ml,"Bakery, Cakes & Dairy"
21,"arokya|toned milk|500ml",arokya,toned milk,500ml,"Bakery, Cakes & Dairy"
22,"sids farm|natural cow milk|500ml",sids farm,natural cow milk,500ml,"Bakery, Cakes & Dairy"
23,"nandini|samrudhi milk|500ml",nandini,samrudhi milk,500ml,"Bakery, Cakes & Dairy"
24,"arokya|standardised milk|500ml",arokya,standardised milk,500ml,"Bakery, Cakes & Dairy"
25,"sids farm|a2 buffalo milk natural no preservatives antibiotics|500ml",sids farm,a2 buffalo milk natural no preservatives antibiotics,500ml,"Bakery, Cakes & Dairy"
26,"mother dairy|full cream milk fcm|1000ml",mother dairy,full cream milk fcm,1000ml,"Bakery, Cakes & Dairy"
27,"mother dairy|full cream milk|500ml",mother dairy,full cream milk,500ml,"Bakery, Cakes & Dairy"
28,"sids farm|skim milk|500ml",sids farm,skim milk,500ml,"Bakery, Cakes & Dairy"
29,"namaste india|pasteurised full cream milk|500ml",namaste india,pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
30,"aavin|pasteurised full cream milk|500ml",aavin,pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
31,"sangam|gold plus pasteurised full cream milk|500ml",sangam,gold plus pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
32,"visakha milk|pasteurised full cream milk|500ml",visakha milk,pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
33,"dodla|full cream milk|500ml",dodla,full cream milk,500ml,"Bakery, Cakes & Dairy"
34,"nandini|special toned milk|500ml",nandini,special toned milk,500ml,"Bakery, Cakes & Dairy"
35,"chitale|full cream milk|500ml",chitale,full cream milk,500ml,"Bakery, Cakes & Dairy"
36,"verka|full cream milk red|1000ml",verka,full cream milk red,1000ml,"Bakery, Cakes & Dairy"
37,"verka|full cream milk red|500ml",verka,full cream milk red,500ml,"Bakery, Cakes & Dairy"
38,"warana|full cream milk|500ml",warana,full cream milk,500ml,"Bakery, Cakes & Dairy"
39,"krishna milk union vijaya|gold milk pasteurised full cream|500ml",krishna milk union vijaya,gold milk pasteurised full cream,500ml,"Bakery, Cakes & Dairy"
40,"vijaya|special milk pasteurised full cream|500ml",vijaya,special milk pasteurised full cream,500ml,"Bakery, Cakes & Dairy"
41,"sanchi|full cream milk sanchi gold pasteurised|1000ml",sanchi,full cream milk sanchi gold pasteurised,1000ml,"Bakery, Cakes & Dairy"
42,"sanchi|full cream milk sanchi gold pasteurized|500ml",sanchi,full cream milk sanchi gold pasteurized,500ml,"Bakery, Cakes & Dairy"
43,"thirumala|full cream milk|500ml",thirumala,full cream milk,500ml,"Bakery, Cakes & Dairy"
44,"godrej jersey|rich full cream milk|500ml",godrej jersey,rich full cream milk,500ml,"Bakery, Cakes & Dairy"
45,"thirumala|toned milk|500ml",thirumala,toned milk,500ml,"Bakery, Cakes & Dairy"
46,"thirumala|standardised milk|500ml",thirumala,standardised milk,500ml,"Bakery, Cakes & Dairy"
47,"amul|slim n trim|200ml",amul,slim n trim,200ml,"Bakery, Cakes & Dairy"
48,"mother dairy|cow milk|1000ml",mother dairy,cow milk,1000ml,"Bakery, Cakes & Dairy"
49,"mother dairy|cow milk|500ml",mother dairy,cow milk,500ml,"Bakery, Cakes & Dairy"
50,"aavin|nice pasteurised toned milk|500ml",aavin,nice pasteurised toned milk,500ml,"Bakery, Cakes & Dairy"
51,"farm finest|buffalo milk pasteurised full cream everyday consumption|1000ml",farm finest,buffalo milk pasteurised full cream everyday consumption,1000ml,"Bakery, Cakes & Dairy"
52,"nandini|nandini fresh toned fresh milk blue|1pack",nandini,nandini fresh toned fresh milk blue,1pack,"Dairy, Bread & Eggs"
53,"nandini|nandini standardised fresh milk orange|1pack",nandini,nandini standardised fresh milk orange,1pack,"Dairy, Bread & Eggs"
54,"nandini|nandini goodlife toned uht milk fino|1pack",nandini,nandini goodlife toned uht milk fino,1pack,"Dairy, Bread & Eggs"
55,"amul|amul gold full cream fresh milk|1pack",amul,amul gold full cream fresh milk,1pack,"Dairy, Bread & Eggs"
56,"heritage|heritage toned fresh milk|1pack",heritage,heritage toned fresh milk,1pack,"Dairy, Bread & Eggs"
57,"godrej jersey|godrej jersey toned milk|1pack",godrej jersey,godrej jersey toned milk,1pack,"Dairy, Bread & Eggs"
58,"arokya|arokya toned fresh milk|1pack",arokya,arokya toned fresh milk,1pack,"Dairy, Bread & Eggs"
59,"heritage|heritage full cream fresh milk|1pack",heritage,heritage full cream fresh milk,1pack,"Dairy, Bread & Eggs"
60,"heritage|heritage special long life toned milk|1pack",heritage,heritage special long life toned milk,1pack,"Dairy, Bread & Eggs"
61,"amul|amul taaza toned fresh milk|1pack",amul,amul taaza toned fresh milk,1pack,"Dairy, Bread & Eggs"
62,"akshayakalpa|akshayakalpa amrutha a2 pasteurized fresh organic milk|1pack",akshayakalpa,akshayakalpa amrutha a2 pasteurized fresh organic milk,1pack,"Dairy, Bread & Eggs"
63,"arokya|arokya standardized fresh milk|1pack",arokya,arokya standardized fresh milk,1pack,"Dairy, Bread & Eggs"
